Matchup,Battles,Winrate
Ghost/Reaper vs Oracle/Zealot,1,1.0
Marauder/Mothership vs Marine/Roach,1,1.0
Carrier/Roach vs HighTemplar/Infestor,1,1.0
Adept/Carrier vs Mothership/SwarmHostBurrowed,1,1.0
HighTemplar/Zergling vs Marine/VoidRay,1,1.0
Banshee/Hellion vs Colossus/Zealot,1,1.0
Carrier/HighTemplar vs Phoenix/Stalker,1,1.0
DarkTemplar/Infestor vs Marauder/SwarmHostBurrowed,1,1.0
Baneling/Roach vs Cyclone/Ravager,1,1.0
Mutalisk/Reaper vs Ravager/Ultralisk,1,1.0
Baneling/Raven vs Stalker/Zergling,1,1.0
Adept/Queen vs Corruptor/Infestor,1,1.0
Banshee/ThorAP vs Roach/Zealot,1,1.0
Battlecruiser/Tempest vs Mothership/Ultralisk,1,1.0
Archon/BroodLord vs Hellion/Phoenix,1,1.0
Adept/Ghost vs Archon/Colossus,1,1.0
Baneling/VoidRay vs Ghost/Queen,1,1.0
Baneling/Battlecruiser vs Immortal/Stalker,1,1.0
Mutalisk/Phoenix vs Oracle/SiegeTank,1,1.0
Corruptor/HighTemplar vs Hydralisk/Thor,1,1.0
BattleHellion/DarkTemplar vs Ghost/Queen,1,1.0
BroodLord/Thor vs Raven/SwarmHostBurrowed,1,1.0
Archon/Ghost vs BroodLord/Marine,1,1.0
Ghost/Hydralisk vs Infestor/Stalker,1,1.0
Carrier/VoidRay vs Phoenix/Roach,1,1.0
Carrier/SwarmHostBurrowed vs Colossus/WidowMineBurrowed,1,1.0
BroodLord/VikingAssault vs Cyclone/Hellion,1,1.0
Ghost/Raven vs Marauder/Mutalisk,1,1.0
Archon/Immortal vs LiberatorAG/Raven,1,1.0
DarkTemplar/SwarmHostBurrowed vs Hydralisk/ThorAP,1,1.0
Carrier/Corruptor vs Colossus/Ravager,1,1.0
Battlecruiser/Raven vs Hellion/Viking,1,1.0
Battlecruiser/DarkTemplar vs ThorAP/Ultralisk,1,1.0
BroodLord/ThorAP vs Cyclone/Stalker,1,1.0
Battlecruiser/Oracle vs HighTemplar/SwarmHostBurrowed,1,1.0
HighTemplar/Queen vs VikingAssault/VoidRay,1,1.0
Archon/Cyclone vs Queen/VoidRay,1,1.0
Ghost/Reaper vs Marine/Tempest,1,1.0
Archon/Infestor vs HighTemplar/LurkerBurrowed,1,1.0
BattleHellion/Raven vs Battlecruiser/Roach,1,1.0
Adept/Cyclone vs WidowMineBurrowed/Zealot,1,1.0
BroodLord/HighTemplar vs DarkTemplar/Stalker,1,1.0
Archon/Immortal vs Infestor/SwarmHostBurrowed,1,1.0
Infestor/Stalker vs Reaper/SwarmHostBurrowed,1,1.0
Colossus/Cyclone vs Hydralisk/SwarmHostBurrowed,1,1.0
DarkTemplar/VoidRay vs Immortal/Mothership,1,1.0
Battlecruiser/Immortal vs Colossus/Infestor,1,1.0
Baneling/Carrier vs Ghost/Mothership,1,1.0
Archon/Reaper vs Hellion/Marine,1,1.0
HighTemplar/Tempest vs Raven/Reaper,1,1.0
DarkTemplar/Queen vs WidowMineBurrowed/Zealot,1,1.0
Carrier/Ghost vs Marine/Phoenix,1,1.0
BroodLord/Liberator vs Ghost/Mutalisk,1,1.0
Immortal/Marine vs LurkerBurrowed/VikingAssault,1,1.0
Carrier/DarkTemplar vs Marine/Mothership,1,1.0
Banshee/DarkTemplar vs Colossus/Ghost,1,1.0
DarkTemplar/Raven vs Queen/VoidRay,1,1.0
Carrier/Cyclone vs Tempest/Viking,1,1.0
Battlecruiser/Infestor vs Corruptor/DarkTemplar,1,1.0
Ghost/Raven vs Immortal/Liberator,1,1.0
Battlecruiser/Reaper vs BroodLord/HighTemplar,1,1.0
Baneling/Lurker vs Hydralisk/VikingAssault,1,1.0
BattleHellion/Phoenix vs Reaper/Zergling,1,1.0
Battlecruiser/Immortal vs LurkerBurrowed/VoidRay,1,1.0
Carrier/Reaper vs Oracle/Tempest,1,1.0
Banshee/Phoenix vs Immortal/Lurker,1,1.0
Cyclone/Mutalisk vs Ghost/Phoenix,1,1.0
Infestor/Zergling vs Raven/VoidRay,1,1.0
