Hand,Battles,Winrate
Marauder/Ravager,14,0.35714285714285715
DarkTemplar/LurkerBurrowed,14,0.35714285714285715
Corruptor/SwarmHostBurrowed,21,0.35714285714285715
Infestor/Mothership,7,0.35714285714285715
LurkerBurrowed/Raven,7,0.35714285714285715
Hydralisk/Mothership,7,0.35714285714285715
Adept/VoidRay,25,0.36
Banshee/Oracle,25,0.36
BattleHellion/Hydralisk,25,0.36
Phoenix/Zergling,25,0.36
Phoenix/Stalker,25,0.36
Archon/Ravager,29,0.3620689655172414
Oracle/Reaper,11,0.36363636363636365
Banshee/Immortal,22,0.36363636363636365
LiberatorAG/Tempest,11,0.36363636363636365
Stalker/VikingAssault,11,0.36363636363636365
Banshee/HighTemplar,22,0.36363636363636365
Hellion/Marine,11,0.36363636363636365
Corruptor/Zergling,30,0.36666666666666664
Baneling/Reaper,30,0.36666666666666664
Corruptor/Cyclone,30,0.36666666666666664
Adept/Hydralisk,15,0.36666666666666664
Baneling/Banshee,23,0.3695652173913043
Corruptor/Phoenix,27,0.37037037037037035
BattleHellion/Queen,27,0.37037037037037035
Hellion/Ravager,8,0.375
HighTemplar/Oracle,16,0.375
Ghost/Zealot,20,0.375
BroodLord/Colossus,32,0.375
Cyclone/Oracle,24,0.375
Banshee/Thor,8,0.375
Banshee/Zealot,20,0.375
Baneling/Ravager,24,0.375
BattleHellion/BroodLord,16,0.375
Cyclone/Ultralisk,20,0.375
Baneling/Hydralisk,16,0.375
Liberator/LurkerBurrowed,4,0.375
BattleHellion/Cyclone,12,0.375
Mutalisk/SiegeTank,4,0.375
LiberatorAG/Raven,4,0.375
VikingAssault/Zergling,8,0.375
Marine/SiegeTank,4,0.375
BroodLord/WidowMineBurrowed,4,0.375
Corruptor/Infestor,45,0.37777777777777777
BroodLord/VoidRay,41,0.3780487804878049
Immortal/Mutalisk,25,0.38
Adept/Archon,25,0.38
Adept/Ravager,17,0.38235294117647056
Adept/BroodLord,26,0.38461538461538464
Banshee/Reaper,13,0.38461538461538464
BattleHellion/Liberator,13,0.38461538461538464
DarkTemplar/WidowMineBurrowed,13,0.38461538461538464
Marauder/Phoenix,13,0.38461538461538464
Marine/VoidRay,22,0.38636363636363635
Corruptor/Ultralisk,31,0.3870967741935484
Marine/Stalker,31,0.3870967741935484
Infestor/Zergling,18,0.3888888888888889
BroodLord/Hellion,18,0.3888888888888889
Adept/Infestor,27,0.3888888888888889
Corruptor/WidowMineBurrowed,9,0.3888888888888889
Queen/Zealot,27,0.3888888888888889
Oracle/ThorAP,18,0.3888888888888889
SiegeTankSieged/Tempest,18,0.3888888888888889
Cyclone/LiberatorAG,9,0.3888888888888889
HighTemplar/Roach,23,0.391304347826087
Cyclone/Stalker,23,0.391304347826087
Phoenix/ThorAP,23,0.391304347826087
Marauder/Queen,28,0.39285714285714285
Adept/Liberator,14,0.39285714285714285
DarkTemplar/SiegeTankSieged,14,0.39285714285714285
Corruptor/LurkerBurrowed,14,0.39285714285714285
Baneling/Ghost,38,0.39473684210526316
BroodLord/Cyclone,19,0.39473684210526316
BroodLord/Oracle,24,0.3958333333333333
Adept/Battlecruiser,24,0.3958333333333333
Hydralisk/Ravager,29,0.39655172413793105
Banshee/Phoenix,39,0.3974358974358974
Battlecruiser/Zealot,25,0.4
Ghost/WidowMineBurrowed,5,0.4
Reaper/ThorAP,10,0.4
BattleHellion/VikingAssault,15,0.4
Hellion/Hydralisk,15,0.4
Ghost/Roach,25,0.4
Adept/ThorAP,15,0.4
Hellion/Queen,20,0.4
Mothership/Queen,15,0.4
